seed,x_T,failed,time_since_last_burst
405,-1.0,0,3
406,1.0,1,23
407,0.8590757408549573,1,1
408,0.5433934194026824,1,5
409,1.0,1,10
410,1.0,1,21
411,0.17867657008594948,0,3
412,1.0,1,23
413,0.08736867350410495,0,6
414,0.9072825592773976,1,0
415,-1.0,0,7
416,-1.0,0,1
417,0.22089796533294107,0,8
418,0.7280297989614086,1,3
419,-0.5691117049271746,0,3
420,0.27891743394604707,0,0
421,-0.15402939935083276,0,15
422,-1.0,0,6
423,-0.3675829285070529,0,2
424,-0.18446485703283266,0,4
425,1.0,1,32
426,-1.0,0,3
427,0.19751521637271213,0,12
428,0.7161061097362638,1,4
429,0.7291871460072308,1,3
430,0.7507555788955225,1,15
431,-1.0,0,4
432,1.0,1,32
433,1.0,1,21
434,1.0,1,33
435,-1.0,0,0
436,1.0,1,30
437,-0.6792655245974649,0,11
438,1.0,1,7
439,0.38565782135777316,0,6
440,0.6158519693391115,1,12
441,0.842610194576324,1,17
442,0.9302796120366578,1,0
443,1.0,1,3
444,-0.12407636491643423,0,3
445,0.6253110620852407,1,12
446,1.0,1,20
447,0.8943987583477498,1,3
448,-1.0,0,4
449,-1.0,0,0
450,1.0,1,26
451,-0.7230812947224163,0,8
452,0.8605726960051734,1,0
453,1.0,1,5
454,1.0,1,30
455,0.953041230785227,1,1
456,-1.0,0,0
457,1.0,1,19
458,-1.0,0,1
459,1.0,1,20
460,1.0,1,21
461,1.0,1,42
462,0.6194997485995024,1,3
463,0.8515602930624708,1,3
464,0.5692393018689272,1,5
465,-0.9402071089707469,0,2
466,0.8458740767384673,1,13
467,0.5809188990900693,1,4
468,-1.0,0,10
469,-0.050502860580297515,0,0
470,0.8288538484420902,1,0
471,-0.13930466857020607,0,0
472,-0.9658097136740391,0,7
473,0.23012163650237502,0,0
474,-0.8302626969767315,0,8
475,0.4374285518162748,0,2
476,0.2965935412628595,0,4
477,-1.0,0,0
478,-0.23319160496811606,0,8
479,0.8744865384913236,1,1
480,-0.04434505556998346,0,2
481,1.0,1,23
482,0.9290190117536639,1,1
483,0.7785157945912663,1,2
484,0.8248541566051465,1,3
485,-1.0,0,4
486,-1.0,0,4
487,0.32312115166956606,0,4
488,-1.0,0,3
489,0.9622511414300123,1,0
490,0.5958972399996691,1,15
491,-1.0,0,2
492,0.19413761344459055,0,5
493,-1.0,0,4
494,1.0,1,15
495,1.0,1,9
496,0.939716839407464,1,0
497,1.0,1,19
498,-1.0,0,5
499,1.0,1,12
